id,name,common_name,active_substance,therapeutic_area,group
209,Tadalafil Lilly,tadalafil,tadalafil,Erectile Dysfunction,Urologicals
210,Cialis,tadalafil,tadalafil,Erectile Dysfunction,Urologicals
211,Talzenna,talazoparib,talazoparib,Breast Neoplasms,Antineoplastic agents
212,Pregabalin Viatris (previously Pregabalin Mylan),pregabalin,pregabalin,Anxiety Disorders;Epilepsy,Antiepileptics
213,Prometax,rivastigmine,rivastigmine,Alzheimer Disease;Parkinson Disease;Dementia,Psychoanaleptics
214,Abrysvo,"Respiratory syncytial virus vaccine (bivalent, recombinant)","Respiratory syncytial virus, subgroup A, stabilized prefusion F protein / Respiratory syncytial virus, subgroup B, stabilized prefusion F protein",Respiratory Syncytial Virus Infections,Vaccines
215,Instanyl,fentanyl,Fentanyl citrate,Pain;Cancer,Analgesics
216,Olumiant,baricitinib,Baricitinib,"Arthritis, Rheumatoid",Immunosuppressants
217,Tysabri,natalizumab,natalizumab,Multiple Sclerosis,Monoclonal antibodies
218,Nyxthracis (previously Obiltoxaximab SFL),obiltoxaximab,nyxthracis,Anthrax,Immune sera and immunoglobulins
219,Lytenava,bevacizumab,bevacizumab,Wet Macular Degeneration,Ophthalmologicals
220,Tadalafil Mylan,tadalafil,tadalafil,Erectile Dysfunction,Urologicals
221,Zimbus Breezhaler,indacaterol;glycopyrronium;mometasone furoate,Glycopyrronium bromide;Indacaterol (acetate);Mometasone furoate,Asthma,Drugs for obstructive airway diseases
222,Rystiggo,Rozanolixizumab,Rozanolixizumab,Myasthenia Gravis,Immunosuppressants;Monoclonal antibodies
223,Repatha,evolocumab,Evolocumab,Dyslipidemias;Hypercholesterolemia,Lipid modifying agents
224,Aspaveli,pegcetacoplan,Pegcetacoplan,"Hemoglobinuria, Paroxysmal",Immunosuppressants
225,Entresto,sacubitril;valsartan,sacubitril;valsartan,Heart Failure,"Angiotensin II antagonists, other combinations;Agents acting on the renin-angiotensin system"
226,Neparvis,sacubitril;valsartan,sacubitril;valsartan,Heart Failure,Agents acting on the renin-angiotensin system
227,Noxafil,posaconazole,posaconazole,Candidiasis;Mycoses;Coccidioidomycosis;Aspergillosis,Antimycotics for systemic use
228,Savene,dexrazoxane,dexrazoxane hydrochloride,Extravasation of Diagnostic and Therapeutic Materials,All other therapeutic products
229,Ivabradine Accord,ivabradine,ivabradine hydrochloride,Angina Pectoris;Heart Failure,Cardiac therapy
230,Paxlovid,nirmatrelvir;ritonavir,nirmatrelvir;ritonavir,COVID-19 virus infection,
231,Cholestagel,colesevelam,colesevelam (as hydrochloride),Hypercholesterolemia,Lipid modifying agents
232,mResvia,Single-stranded 5' capped mRNA encoding the Respiratory syncytial virus glycoprotein F stabilized in the prefusion conformation,Single-stranded 5' capped mRNA encoding the Respiratory syncytial virus glycoprotein F stabilized in the prefusion conformation,Respiratory Syncytial Virus Infections,Vaccines
233,Multaq,dronedarone,dronedarone,Atrial Fibrillation,Cardiac therapy
234,Camzyos,mavacamten,Mavacamten,"Cardiomyopathy, Hypertrophic",Other cardiac preparations
235,Viagra,sildenafil,sildenafil,Erectile Dysfunction,Urologicals
236,Lyxumia,lixisenatide,lixisenatide,"Diabetes Mellitus, Type 2",Drugs used in diabetes;Glucagon-like peptide-1 (GLP-1) analogues
237,Bimervax,"COVID-19 Vaccine (recombinant, adjuvanted);selvacovatein",SARS-CoV-2 virus recombinant spike (S) protein receptor binding domain (RBD) fusion dimer produced by recombinant DNA technology,COVID-19 virus infection,Vaccines
238,Eurneffy,epinephrine,epinephrine,Anaphylaxis,Cardiac therapy
239,Dapagliflozin Viatris,dapagliflozin,dapagliflozin,"Diabetes Mellitus, Type 2;Heart Failure, Systolic;Heart Failure;Renal Insufficiency, Chronic",Drugs used in diabetes
240,Pemetrexed Sandoz,pemetrexed,pemetrexed disodium hemipentahydrate,"Carcinoma, Non-Small-Cell Lung;Mesothelioma",Antineoplastic agents
241,Pregabalin Sandoz,pregabalin,pregabalin,Anxiety Disorders;Neuralgia;Epilepsy,Antiepileptics
242,Nordimet,methotrexate,methotrexate,"Arthritis, Psoriatic;Psoriasis;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid",Antineoplastic agents
243,Apexelsin,paclitaxel,paclitaxel,"Breast Neoplasms;Pancreatic Neoplasms;Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
244,Arava,leflunomide,leflunomide,"Arthritis, Rheumatoid;Arthritis, Psoriatic",Immunosuppressants
245,Reagila,cariprazine,cariprazine hydrochloride,Schizophrenia,Psycholeptics
246,Betmiga,mirabegron,Mirabegron,"Urinary Bladder, Overactive",Urologicals
247,Infanrix Hexa,"diphtheria (D), tetanus (T), pertussis (acellular, component) (Pa), hepatitis B (rDNA) (HBV), poliomyelitis (inactivated) (IPV) and Haemophilus influenzae type-b (Hib) conjugate vaccine (adsorbed)","Diphtheria toxoid;tetanus toxoid;Bordetella pertussis antigens (pertussis toxoid, filamentous haemagglutinin, pertactin);hepatitis B surface antigen;poliovirus (inactivated) (type-1 (Mahoney strain), type-2 (MEF-1 strain), type-3 (Saukett strain));Haemophilus influenzae type b polysaccharide","Hepatitis B;Tetanus;Immunization;Meningitis, Haemophilus;Whooping Cough;Poliomyelitis;Diphtheria",Vaccines
248,Abecma,idecabtagene vicleucel,idecabtagene vicleucel,Multiple Myeloma,Antineoplastic agents
249,Breyanzi,lisocabtagene maraleucel,CD19-directed genetically modified autologous cell-based product consisting of purified CD8+ T-cells (CD8+ cells);CD19-directed genetically modified autologous cell-based product consisting of purified CD4+ T cells (CD4+ cells),"Lymphoma, Large B-Cell, Diffuse;Lymphoma, Follicular;Mediastinal Neoplasms",Antineoplastic agents
250,Spravato,esketamine,esketamine hydrochloride,Depressive Disorder,Other antidepressants
251,Dovprela (previously Pretomanid FGK),pretomanid,Pretomanid,"Tuberculosis, Multidrug-Resistant",Antimycobacterials
252,Efient,prasugrel,prasugrel,"Acute Coronary Syndrome;Angina, Unstable;Myocardial Infarction",Antithrombotic agents
253,Rivastigmine Actavis,rivastigmine,rivastigmine hydrogen tartrate,Dementia;Alzheimer Disease;Parkinson Disease,Psychoanaleptics
254,Xgeva,denosumab,denosumab,"Giant Cell Tumor of Bone;Neoplasms, Bone Tissue",Drugs for treatment of bone diseases
255,Fabrazyme,agalsidase beta,agalsidase beta,Fabry Disease,Other alimentary tract and metabolism products
256,Pegasys,peginterferon alfa-2a,peginterferon alfa-2a,"Hepatitis C, Chronic;Hepatitis B, Chronic;Polycythemia Vera;Thrombocythemia, Essential",Immunostimulants
257,Revinty Ellipta,fluticasone furoate;vilanterol,fluticasone furoate;vilanterol trifenatate,Asthma,Adrenergics and other drugs for obstructive airway diseases
258,Relvar Ellipta,fluticasone furoate;vilanterol,fluticasone furoate;vilanterol,"Pulmonary Disease, Chronic Obstructive",Adrenergics and other drugs for obstructive airway diseases
259,Hizentra,human normal immunoglobulin (SCIg),human normal immunoglobulin (SCIg),Immunologic Deficiency Syndromes,Immune sera and immunoglobulins
260,Renvela,sevelamer carbonate,sevelamer carbonate,Hyperphosphatemia;Renal Dialysis,All other therapeutic products
261,Renagel,sevelamer,sevelamer,Renal Dialysis;Hyperphosphatemia,All other therapeutic products
262,Carmustine medac (previously Carmustine Obvius),carmustine,carmustine,"Hodgkin Disease;Lymphoma, Non-Hodgkin",Antineoplastic agents
263,Phesgo,pertuzumab;trastuzumab,pertuzumab;trastuzumab,Breast Neoplasms,Antineoplastic agents
264,Jevtana,cabazitaxel,cabazitaxel,Prostatic Neoplasms,Antineoplastic agents
265,Venclyxto,venetoclax,Venetoclax,"Leukemia, Lymphocytic, Chronic, B-Cell",Antineoplastic agents
266,Sevelamer carbonate Winthrop (previously Sevelamer carbonate Zentiva),sevelamer carbonate,sevelamer carbonate,Hyperphosphatemia;Renal Dialysis,All other therapeutic products
267,Pramipexole Teva,pramipexole,pramipexole dihydrochloride monohydrate,Parkinson Disease,Anti-Parkinson drugs
268,Tafinlar,dabrafenib,dabrafenib mesilate,Melanoma,Antineoplastic agents
269,Lynparza,olaparib,Olaparib,"Ovarian Neoplasms;Breast Neoplasms;Pancreatic Neoplasms;Prostatic Neoplasms, Castration-Resistant",Antineoplastic agents
270,Toujeo (previously Optisulin),insulin glargine,insulin glargine,Diabetes Mellitus,Drugs used in diabetes
271,Jylamvo,methotrexate,methotrexate,"Arthritis, Psoriatic;Precursor Cell Lymphoblastic Leukemia-Lymphoma;Psoriasis;Arthritis, Rheumatoid;Arthritis",Antineoplastic agents
272,Vabysmo,faricimab,Faricimab,Wet Macular Degeneration;Macular Edema;Diabetes Complications,Ophthalmologicals
273,Imfinzi,durvalumab,durvalumab,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
274,Lantus,insulin glargine,insulin glargine,Diabetes Mellitus,Drugs used in diabetes
275,Olanzapine Teva,olanzapine,olanzapine,Schizophrenia;Bipolar Disorder,Psycholeptics
276,Zyprexa,olanzapine,olanzapine,Schizophrenia;Bipolar Disorder,Psycholeptics
277,Saphnelo,anifrolumab,anifrolumab,"Lupus Erythematosus, Systemic",Monoclonal antibodies
278,Azacitidine Kabi,azacitidine,azacitidine,"Myelodysplastic Syndromes;Leukemia, Myelomonocytic, Chronic;Leukemia, Myeloid, Acute",Antineoplastic agents
279,Tevagrastim,filgrastim,filgrastim,Neutropenia;Hematopoietic Stem Cell Transplantation;Cancer,Immunostimulants
280,Ratiograstim,filgrastim,filgrastim,Neutropenia;Hematopoietic Stem Cell Transplantation;Cancer,Immunostimulants
281,Lyrica,pregabalin,pregabalin,Epilepsy;Anxiety Disorders;Neuralgia,Analgesics;Other analgesics and antipyretics
282,Pregabalin Pfizer,pregabalin,pregabalin,Anxiety Disorders;Epilepsy,Other analgesics and antipyretics;Antiepileptics
283,Revatio,sildenafil,sildenafil,"Hypertension, Pulmonary",Urologicals
284,Pregabalin Accord,pregabalin,pregabalin,Anxiety Disorders;Epilepsy,Antiepileptics
285,Stivarga,regorafenib,regorafenib,Colorectal Neoplasms,Antineoplastic agents;Protein kinase inhibitors
286,Iasibon,ibandronic acid,ibandronic acid,"Hypercalcemia;Fractures, Bone;Neoplasm Metastasis;Breast Neoplasms",Drugs for treatment of bone diseases
287,Ruconest,conestat alfa,Recombinant human C1-inhibitor,"Angioedemas, Hereditary",Drugs used in hereditary angioedema;Other hematological agents
288,Pazenir,paclitaxel,paclitaxel,Breast Neoplasms,Antineoplastic agents
289,Accofil,filgrastim,filgrastim,Neutropenia,Immunostimulants
290,Fluad Tetra,"influenza vaccine (surface antigen, inactivated, adjuvanted)","A/Victoria/4897/2022 (H1N1)pdm09-like strain (A/Victoria/4897/2022, IVR-238) /  A/Thailand/8/2022 (H3N2)-like strain (A/Thailand/8/2022 IVR-237) /  B/Austria/1359417/2021-like strain (B/Austria/1359417/2021, BVR-26) /  B/Phuket/3073/2013-like strain (B/Phuket/3073/2013, BVR-1B) influenza virus","Influenza, Human",Vaccines
291,Zaltrap,aflibercept,aflibercept,Colorectal Neoplasms,Antineoplastic agents
292,Karvezide,irbesartan;hydrochlorothiazide,irbesartan;hydrochlorothiazide,Hypertension,Agents acting on the renin-angiotensin system
293,Balversa,Erdafitinib,Erdafitinib,Urologic Neoplasms,Antineoplastic agents
294,Xevudy,sotrovimab,Sotrovimab,COVID-19 virus infection,Immune sera and immunoglobulins
295,Spinraza,nusinersen,nusinersen sodium,"Muscular Atrophy, Spinal",Other nervous system drugs
296,Skilarence,dimethyl fumarate,dimethyl fumarate,Psoriasis,Immunosuppressants
297,Ibandronic Acid Teva,ibandronic acid,ibandronic acid,"Breast Neoplasms;Neoplasm Metastasis;Fractures, Bone;Osteoporosis, Postmenopausal",Drugs for treatment of bone diseases
298,Plavix,clopidogrel,clopidogrel hydrogen sulfate,Stroke;Peripheral Vascular Diseases;Atrial Fibrillation;Myocardial Infarction;Acute Coronary Syndrome,Antithrombotic agents
299,Skyrizi,risankizumab,Risankizumab,"Psoriasis;Arthritis, Psoriatic",Immunosuppressants
300,Vanflyta,quizartinib,Quizartinib dihydrochloride,"Leukemia, Myeloid",Antineoplastic agents;Protein kinase inhibitors
301,Pioglitazone Accord,pioglitazone,pioglitazone hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
302,Constella,linaclotide,linaclotide,Irritable Bowel Syndrome,Drugs for constipation
303,Vitrakvi,larotrectinib,larotrectinib sulfate,Abdominal Neoplasms,Antineoplastic agents
304,Daurismo,glasdegib,Glasdegib maleate,"Leukemia, Myeloid, Acute",Antineoplastic agents
305,Beovu,brolucizumab,brolucizumab,Wet Macular Degeneration,Ophthalmologicals
306,Mekinist,trametinib,trametinib,Melanoma,Antineoplastic agents
307,Menveo,"meningococcal group A, C, W-135 and Y conjugate vaccine","meningococcal group A, C, W-135 and Y conjugate vaccine","Immunization;Meningitis, Meningococcal",Bacterial vaccines
308,Bexsero,"meningococcal group B Vaccine (rDNA, component, adsorbed)",outer membrane vesicles from neisseria meningitidis group b (strain nz 98/254);recombinant Neisseria meningitidis group B fHbp fusion protein;recombinant Neisseria meningitidis group B NadA protein;recombinant Neisseria meningitidis group B NHBA fusion protein,"Meningitis, Meningococcal",Meningococcal vaccines
309,Sugammadex Adroiq,sugammadex,sugammadex sodium,Neuromuscular Blockade,All other therapeutic products
310,Copalia HCT,amlodipine;valsartan;hydrochlorothiazide,amlodipine;valsartan;hydrochlorothiazide,Hypertension,"Agents acting on the renin-angiotensin system;Angiotensin II antagonists and calcium channel blockers;Angiotensin II antagonists, combinations"
311,Voriconazole Hikma (previously Voriconazole Hospira),voriconazole,voriconazole,Bacterial Infections and Mycoses;Aspergillosis;Candidiasis,Antimycotics for systemic use
312,Verzenios,abemaciclib,abemaciclib,Breast Neoplasms,Antineoplastic agents
313,Zegalogue,dasiglucagon,dasiglucagon hydrochloride,Diabetes Mellitus,Pancreatic hormones
314,Wegovy,semaglutide,semaglutide,Obesity;Overweight,"Antiobesity preparations, excl. diet products"
315,Saxenda,liraglutide,liraglutide,Obesity;Overweight,Drugs used in diabetes
316,Exforge HCT,amlodipine besilate;valsartan;hydrochlorothiazide,valsartan;hydrochlorothiazide;Amlodipine besilate,Hypertension,Agents acting on the renin-angiotensin system
317,Exforge,amlodipine;valsartan,valsartan;amlodipine (as amlodipine besilate),Hypertension,Agents acting on the renin-angiotensin system
318,Dafiro,amlodipine;valsartan,amlodipine;valsartan,Hypertension,Agents acting on the renin-angiotensin system
319,Dafiro HCT,amlodipine besilate;valsartan;hydrochlorothiazide,valsartan;hydrochlorothiazide;Amlodipine besilate,Hypertension,Agents acting on the renin-angiotensin system
320,Copalia,amlodipine;valsartan,valsartan;amlodipine (as amlodipine besilate),Hypertension,Agents acting on the renin-angiotensin system
321,Darunavir Viatris (previously Darunavir Mylan),darunavir,darunavir,HIV Infections,Antivirals for systemic use
322,Vaxzevria (previously COVID-19 Vaccine AstraZeneca),COVID-19 Vaccine (ChAdOx1-S [recombinant]),ChAdOx1-SARS-COV-2,COVID-19 virus infection,Vaccines
323,Vargatef,nintedanib,nintedanib,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
324,Ofev,nintedanib,nintedanib,Idiopathic Pulmonary Fibrosis,Antineoplastic agents
325,Rybelsus,semaglutide,semaglutide,"Diabetes Mellitus, Type 2",Drugs used in diabetes
326,Tagrisso,osimertinib,osimertinib mesilate,"Carcinoma, Non-Small-Cell Lung",Other antineoplastic agents;Protein kinase inhibitors
327,GalliaPharm,Gallium (68Ga) chloride;Germanium (68Ge) chloride,gallium (68Ga) chloride;germanium (68Ge) chloride,Radionuclide Imaging,Other diagnostic radiopharmaceuticals
328,Kevzara,sarilumab,sarilumab,"Arthritis, Rheumatoid",Immunosuppressants
329,Fintepla,fenfluramine,Fenfluramine hydrochloride,"Epilepsies, Myoclonic",Antiepileptics
330,Pylclari,piflufolastat (18F),Piflufolastat (18F),Prostatic Neoplasms,Diagnostic radiopharmaceuticals
331,Tremelimumab AstraZeneca,tremelimumab,Tremelimumab,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
332,Cimzia,certolizumab pegol,Certolizumab pegol,"Arthritis, Rheumatoid",Immunosuppressants
333,Ponvory,ponesimod,ponesimod,"Multiple Sclerosis, Relapsing-Remitting",Immunosuppressants
334,Piqray,alpelisib,Alpelisib,Breast Neoplasms,Antineoplastic agents
335,Herceptin,trastuzumab,trastuzumab,Stomach Neoplasms;Breast Neoplasms,Antineoplastic agents
336,Bavencio,avelumab,avelumab,Neuroendocrine Tumors,Other antineoplastic agents;Monoclonal antibodies
337,Kisqali,ribociclib,ribociclib succinate,Breast Neoplasms,Antineoplastic agents
338,Atazanavir Viatris (previously Atazanavir Mylan),atazanavir,atazanavir (as sulfate),HIV Infections,Antivirals for systemic use
339,Cibinqo,abrocitinib,Abrocitinib,"Dermatitis, Atopic",Other dermatological preparations
340,Raxone,idebenone,idebenone,"Optic Atrophy, Hereditary, Leber",Psychoanaleptics;Other psychostimulants and nootropics
341,Rilutek,riluzole,Riluzole,Amyotrophic Lateral Sclerosis,Other nervous system drugs
342,Lysodren,mitotane,Mitotane,Adrenal Cortex Neoplasms,Antineoplastic agents
343,Ozawade,pitolisant,pitolisant,"Sleep Apnea, Obstructive",Other nervous system drugs
344,Revestive,teduglutide,teduglutide,Malabsorption Syndromes,Other alimentary tract and metabolism products
345,Vueway,Gadopiclenol,Gadopiclenol,Magnetic Resonance Imaging,Paramagnetic contrast media
346,Tavneos,avacopan,Avacopan,Microscopic Polyangiitis;Wegener Granulomatosis,Immunosuppressants
347,Cervarix,"human papillomavirus vaccine [types 16, 18] (recombinant, adjuvanted, adsorbed)",human papillomavirus1 type 16 L1 protein;human papillomavirus type 18 L1 protein,Papillomavirus Infections;Uterine Cervical Dysplasia;Immunization,Vaccines
348,Januvia,sitagliptin,sitagliptin,"Diabetes Mellitus, Type 2",Drugs used in diabetes
349,Oprymea,pramipexole,pramipexole dihydrochloride monohydrate,Parkinson Disease,Anti-Parkinson drugs
350,Wezenla,ustekinumab,ustekinumab,"Psoriasis;Arthritis, Psoriatic;Crohn Disease",Immunosuppressants
351,Mavenclad,cladribine,Cladribine,Multiple Sclerosis,Immunosuppressants
352,Finlee,dabrafenib,Dabrafenib mesylate,Glioma,Antineoplastic agents
353,Efavirenz/Emtricitabine/Tenofovir disoproxil Zentiva,efavirenz;emtricitabine;tenofovir disoproxil,efavirenz;emtricitabine;tenofovir disoproxil phosphate,HIV Infections,Antivirals for systemic use
354,Spexotras,trametinib,Trametinib dimethyl sulfoxide,Glioma;Glioblastoma,Antineoplastic agents
355,Leflunomide medac,leflunomide,leflunomide,"Arthritis, Rheumatoid",Selective immunosuppressants
356,Bekemv,eculizumab,Eculizumab,"Hemoglobinuria, Paroxysmal",Immunosuppressants
357,Helicobacter Test INFAI,13C-urea,urea (13C),Breath Tests;Helicobacter Infections,Diagnostic agents
358,Imlygic,talimogene laherparepvec,talimogene laherparepvec,Melanoma,Antineoplastic agents
359,Zeposia,ozanimod,ozanimod hydrochloride,"Multiple Sclerosis, Relapsing-Remitting;Colitis, Ulcerative",Immunosuppressants
360,Nimenrix,"meningococcal groups A, C, W-135 and Y conjugate vaccine",Neisseria meningitidis group A polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group C polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group W-135 polysaccharide conjugated to tetanus toxoid;Neisseria meningitidis group Y polysaccharide conjugated to tetanus toxoid,"Meningitis, Meningococcal",Vaccines
